metric,month_1,month_2,month_3,month_4,month_5,month_6,trend,notes
total_signups,1850,2340,2890,3420,3810,4120,growing,"Good acquisition, baristas pushing signups"
monthly_active_users,1200,980,760,620,540,480,declining,"This is the problem - people sign up and leave"
app_opens_per_user,4.2,3.1,2.4,1.9,1.6,1.4,declining,"Less engagement over time"
avg_visits_per_month,3.8,2.9,2.4,2.1,1.8,1.6,declining,"Visit frequency dropping"
points_redeemed,342,298,267,231,198,176,declining,"Fewer people reaching rewards"
tier_trailblazer_pct,72,78,82,85,87,89,growing,"Most members stuck at lowest tier"
tier_explorer_pct,21,17,14,12,10,9,declining,"Fewer reaching middle tier"
tier_summit_pct,7,5,4,3,3,2,declining,"Almost no one reaches top tier"
30_day_retention,45,38,34,31,29,27,declining,"People leaving faster"
90_day_retention,28,24,21,18,16,14,declining,"Long-term retention is terrible"
nps_program,34,28,22,18,15,12,declining,"Satisfaction dropping"
nps_overall_brand,67,65,66,68,67,66,stable,"Brand still strong, program weak"
push_notification_opens,12,10,8,7,6,5,declining,"People ignoring us"
email_open_rate,18,16,14,13,12,11,declining,"Emails becoming noise"
avg_days_between_visits,4.2,5.1,6.3,7.8,9.2,10.4,growing,"Longer gaps between visits"
churn_to_competitor,unknown,unknown,12,14,16,18,growing,"Losing members to Starbucks/Dutch Bros"
member_lifetime_value,47,42,38,35,32,29,declining,"Each member worth less over time"
program_cost_per_member,8.50,9.20,10.10,11.30,12.80,14.50,growing,"Getting more expensive per member"
roi_estimate,1.8,1.5,1.2,0.9,0.7,0.5,declining,"ROI going negative soon"
