response_id,timestamp,role,company_size,industry,uses_taskflow_mobile_web,mobile_web_satisfaction,wants_native_app,mobile_importance,primary_mobile_use_case,would_pay_more,competitor_mobile_used,additional_comments
1,2024-10-01 09:15:23,Product Manager,51-200,Technology,Yes,2,Yes,Critical,Quick status updates,Yes,Linear,"Mobile web is painfully slow"
2,2024-10-01 09:22:45,Engineering Manager,201-500,Technology,Yes,1,Yes,Critical,On-call incident response,Yes,Linear,"Need push notifications badly"
3,2024-10-01 09:34:12,Designer,11-50,Design Agency,Yes,3,Yes,High,Review feedback on designs,Maybe,Asana,"Image viewing is broken on mobile"
4,2024-10-01 09:41:33,Project Manager,51-200,Healthcare,No,N/A,Yes,Critical,Patient follow-up tasks,Yes,Monday,"HIPAA compliance needed"
5,2024-10-01 09:55:01,CEO,1-10,Startup,Yes,2,Yes,Critical,Stay connected while traveling,Yes,Notion,"I run my company from my phone"
6,2024-10-01 10:02:18,Operations Manager,201-500,Manufacturing,No,N/A,Yes,Critical,Factory floor task management,Yes,None,"Our workers don't have desktops"
7,2024-10-01 10:15:44,Product Manager,51-200,Fintech,Yes,2,Yes,High,Check sprint progress,Yes,Asana,""
8,2024-10-01 10:23:56,Engineering Lead,11-50,Technology,Yes,3,Yes,Medium,Daily standup prep,Maybe,Linear,"Linear's app is so much better"
9,2024-10-01 10:35:22,Scrum Master,201-500,Enterprise Software,Yes,1,Yes,High,Facilitate remote standups,Yes,Jira,"Enterprise SSO needed in app"
10,2024-10-01 10:48:39,Designer,51-200,E-commerce,Yes,2,Yes,High,Quick approvals,Yes,Figma,"Need better image handling"
11,2024-10-01 11:01:15,Product Manager,501-1000,Financial Services,Yes,2,Yes,Critical,Client meeting prep,Yes,Monday,"Offline mode is essential"
12,2024-10-01 11:14:28,Founder,1-10,Startup,Yes,1,Yes,Critical,Everything,Yes,Notion,"Can't believe there's no app"
13,2024-10-01 11:22:41,Engineering Manager,51-200,Technology,Yes,3,Yes,High,Code review follow-ups,Maybe,Linear,""
14,2024-10-01 11:35:59,Operations Lead,201-500,Logistics,No,N/A,Yes,Critical,Driver task assignments,Yes,None,"Drivers only have phones"
15,2024-10-01 11:48:12,Product Manager,11-50,SaaS,Yes,2,Yes,High,Customer feedback triage,Yes,Asana,""
16,2024-10-01 12:02:33,Project Coordinator,51-200,Construction,No,N/A,Yes,Critical,Job site updates,Yes,Procore,"Need offline desperately"
17,2024-10-01 12:15:47,Designer,11-50,Technology,Yes,2,Yes,Medium,Design task updates,Maybe,Asana,"Would love dark mode"
18,2024-10-01 12:28:55,Engineering Manager,201-500,Technology,Yes,2,Yes,High,Sprint monitoring,Yes,Linear,"Push notifications please"
19,2024-10-01 12:41:08,Product Manager,51-200,Healthcare,Yes,1,Yes,Critical,Patient care coordination,Yes,Monday,"Security is paramount"
20,2024-10-01 12:55:23,CEO,11-50,Agency,Yes,2,Yes,Critical,Client project oversight,Yes,Asana,"Agency life = always mobile"
21,2024-10-01 13:08:41,Operations Manager,501-1000,Retail,No,N/A,Yes,Critical,Store task management,Yes,None,"Store managers need mobile"
22,2024-10-01 13:22:15,Product Manager,51-200,Technology,Yes,3,Yes,High,Roadmap reviews,Maybe,Notion,""
23,2024-10-01 13:35:29,Engineering Lead,11-50,Startup,Yes,2,Yes,High,Bug triage on-call,Yes,Linear,"Linear won our eng team"
24,2024-10-01 13:48:44,Project Manager,201-500,Events,Yes,1,Yes,Critical,Event day coordination,Yes,Asana,"Events = no wifi often"
25,2024-10-01 14:01:58,Designer,51-200,Technology,Yes,2,Yes,Medium,Feedback responses,Maybe,Figma,""
26,2024-10-01 14:15:12,Product Manager,11-50,EdTech,Yes,2,Yes,High,Teacher feedback tracking,Yes,Asana,""
27,2024-10-01 14:28:33,Engineering Manager,201-500,Enterprise,Yes,2,Yes,High,Incident management,Yes,Jira,"Need enterprise features"
28,2024-10-01 14:41:47,Founder,1-10,Startup,Yes,1,Yes,Critical,Run everything mobile,Yes,Notion,"Startup founder = never at desk"
29,2024-10-01 14:55:02,Operations Lead,51-200,Healthcare,No,N/A,Yes,Critical,Nurse task coordination,Yes,None,"Clinical staff mobile-only"
30,2024-10-01 15:08:18,Product Manager,201-500,Technology,Yes,2,Yes,High,Feature tracking,Yes,Linear,""
31,2024-10-01 15:21:35,Project Manager,51-200,Marketing,Yes,2,Yes,High,Campaign tracking,Yes,Asana,"Travel constantly"
32,2024-10-01 15:34:49,Designer,11-50,Design Agency,Yes,3,Yes,Medium,Client approvals,Maybe,Monday,""
33,2024-10-01 15:48:01,Engineering Manager,501-1000,Technology,Yes,2,Yes,Critical,Team coordination,Yes,Linear,"Our whole eng team wants this"
34,2024-10-01 16:01:22,Product Manager,51-200,Fintech,Yes,2,Yes,High,Compliance tracking,Yes,Asana,""
35,2024-10-01 16:14:38,CEO,11-50,Consulting,Yes,1,Yes,Critical,Client deliverables,Yes,Notion,"Consultants live on phones"
36,2024-10-01 16:27:55,Operations Manager,201-500,Hospitality,No,N/A,Yes,Critical,Hotel operations,Yes,None,"Staff on floors all day"
37,2024-10-01 16:41:08,Product Manager,11-50,Technology,Yes,3,Yes,High,Sprint updates,Maybe,Linear,""
38,2024-10-01 16:54:22,Engineering Lead,51-200,SaaS,Yes,2,Yes,High,Deploy tracking,Yes,Linear,"Need it for on-call"
39,2024-10-01 17:07:41,Project Manager,201-500,Construction,No,N/A,Yes,Critical,Safety checklists,Yes,Procore,"Safety = mobile critical"
40,2024-10-01 17:20:55,Designer,51-200,E-commerce,Yes,2,Yes,Medium,Asset approvals,Maybe,Figma,""
41,2024-10-02 08:15:33,Product Manager,201-500,Technology,Yes,2,Yes,High,Stakeholder updates,Yes,Asana,""
42,2024-10-02 08:28:47,Founder,1-10,Startup,Yes,1,Yes,Critical,Investor updates,Yes,Notion,"VCs expect fast responses"
43,2024-10-02 08:41:02,Engineering Manager,51-200,Technology,Yes,3,Yes,High,Code review status,Maybe,Linear,""
44,2024-10-02 08:54:18,Operations Lead,501-1000,Logistics,No,N/A,Yes,Critical,Fleet coordination,Yes,None,"Drivers need app"
45,2024-10-02 09:07:35,Product Manager,11-50,Healthcare,Yes,1,Yes,Critical,Patient tasks,Yes,Monday,"HIPAA app needed"
46,2024-10-02 09:20:49,Project Manager,51-200,Agency,Yes,2,Yes,High,Client projects,Yes,Asana,""
47,2024-10-02 09:34:01,Designer,201-500,Technology,Yes,2,Yes,Medium,Design reviews,Maybe,Figma,""
48,2024-10-02 09:47:22,Engineering Lead,11-50,Startup,Yes,2,Yes,High,Bug tracking,Yes,Linear,"Linear app is great"
49,2024-10-02 10:00:38,Product Manager,201-500,Financial Services,Yes,2,Yes,Critical,Compliance tasks,Yes,Monday,""
50,2024-10-02 10:13:55,CEO,1-10,Startup,Yes,1,Yes,Critical,Everything,Yes,Notion,"Founders need mobile"
51,2024-10-02 10:27:08,Operations Manager,51-200,Manufacturing,No,N/A,Yes,Critical,Production tracking,Yes,None,"Factory = no desktops"
52,2024-10-02 10:40:22,Product Manager,11-50,Technology,Yes,3,Yes,High,Feature requests,Maybe,Asana,""
53,2024-10-02 10:53:41,Engineering Manager,201-500,Enterprise,Yes,2,Yes,High,Sprint progress,Yes,Jira,""
54,2024-10-02 11:06:55,Project Manager,51-200,Events,Yes,1,Yes,Critical,Live event tasks,Yes,Asana,"Offline critical"
55,2024-10-02 11:20:08,Designer,11-50,Design Agency,Yes,2,Yes,Medium,Client feedback,Maybe,Monday,""
56,2024-10-02 11:33:28,Product Manager,501-1000,Technology,Yes,2,Yes,High,Roadmap updates,Yes,Linear,""
57,2024-10-02 11:46:42,Founder,1-10,Startup,Yes,1,Yes,Critical,Team coordination,Yes,Notion,""
58,2024-10-02 12:00:01,Engineering Lead,51-200,SaaS,Yes,2,Yes,High,Incident response,Yes,Linear,"Need push notifications"
59,2024-10-02 12:13:18,Operations Lead,201-500,Retail,No,N/A,Yes,Critical,Store operations,Yes,None,""
60,2024-10-02 12:26:35,Product Manager,11-50,EdTech,Yes,2,Yes,High,Curriculum tracking,Yes,Asana,""
61,2024-10-02 12:39:48,Project Manager,201-500,Healthcare,Yes,1,Yes,Critical,Care coordination,Yes,Monday,""
62,2024-10-02 12:53:02,Designer,51-200,Technology,Yes,3,Yes,Medium,UI reviews,Maybe,Figma,""
63,2024-10-02 13:06:22,Engineering Manager,11-50,Startup,Yes,2,Yes,High,Sprint tracking,Yes,Linear,""
64,2024-10-02 13:19:38,Product Manager,201-500,Fintech,Yes,2,Yes,High,Audit tracking,Yes,Asana,""
65,2024-10-02 13:32:55,CEO,11-50,Agency,Yes,2,Yes,Critical,All projects,Yes,Monday,"Agency = client calls everywhere"
66,2024-10-02 13:46:08,Operations Manager,501-1000,Manufacturing,No,N/A,Yes,Critical,Shift management,Yes,None,""
67,2024-10-02 13:59:28,Product Manager,51-200,Technology,Yes,2,Yes,High,User feedback,Yes,Linear,""
68,2024-10-02 14:12:42,Engineering Lead,201-500,Technology,Yes,2,Yes,High,Team updates,Yes,Linear,"Push notifications needed"
69,2024-10-02 14:25:55,Project Manager,11-50,Consulting,Yes,2,Yes,Critical,Client work,Yes,Asana,""
70,2024-10-02 14:39:12,Designer,51-200,E-commerce,Yes,2,Yes,Medium,Product reviews,Maybe,Figma,""
71,2024-10-02 14:52:28,Product Manager,201-500,Healthcare,Yes,1,Yes,Critical,Patient tracking,Yes,Monday,"Security first"
72,2024-10-02 15:05:41,Founder,1-10,Startup,Yes,1,Yes,Critical,Startup chaos,Yes,Notion,""
73,2024-10-02 15:18:58,Engineering Manager,51-200,SaaS,Yes,2,Yes,High,Release tracking,Yes,Linear,""
74,2024-10-02 15:32:15,Operations Lead,201-500,Events,No,N/A,Yes,Critical,Venue coordination,Yes,None,"Events = on your feet"
75,2024-10-02 15:45:29,Product Manager,11-50,Technology,Yes,3,Yes,High,Backlog grooming,Maybe,Asana,""
