user_id,survey_date,company_size,confusion_during_onboarding,feature_request,nps_score
USR00001,2024-11-23,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00002,2024-11-23,100+,Would love to see templates for common use cases,Needed examples or templates,4
USR00003,2024-11-02,5-20,Wish there was some guidance on what to create,Didn't know what to create,4
USR00004,2024-11-01,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00005,2024-11-28,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,7
USR00006,2024-11-30,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00007,2024-11-09,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,7
USR00008,2024-11-24,21-99,Some examples would have been super helpful,Needed examples or templates,7
USR00009,2024-11-25,21-99,"Coming from Asana, I expected some starter templates",Needed examples or templates,5
USR00010,2024-11-08,5-20,Expected some direction on where to start,Didn't know what to create,5
USR00011,2024-11-26,21-99,How much info should a task have?,Unclear what tasks should look like,5
USR00012,2024-11-25,100+,Some examples would have been super helpful,Needed examples or templates,4
USR00013,2024-11-09,5-20,Unclear on the format for tasks,Unclear what tasks should look like,7
USR00014,2024-11-25,21-99,Show me what good looks like with samples,Needed examples or templates,6
USR00015,2024-11-19,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,8
USR00016,2024-11-19,5-20,No idea what my first task should be,Didn't know what to create,6
USR00017,2024-11-08,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,6
USR00018,2024-11-01,21-99,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00019,2024-11-24,5-20,Unclear on the format for tasks,Unclear what tasks should look like,8
USR00020,2024-11-10,100+,Wish there was some guidance on what to create,Didn't know what to create,7
USR00021,2024-11-13,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,5
USR00022,2024-11-25,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,6
USR00023,2024-11-30,5-20,Wish there was some guidance on what to create,Didn't know what to create,8
USR00024,2024-11-09,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00025,2024-11-19,5-20,No idea what my first task should be,Didn't know what to create,4
USR00026,2024-11-24,5-20,Wish there was some guidance on what to create,Didn't know what to create,4
USR00027,2024-11-19,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,4
USR00028,2024-11-30,21-99,Just sat there confused about what to put in,Didn't know what to create,7
USR00029,2024-11-10,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,5
USR00030,2024-11-13,21-99,Unclear on the format for tasks,Unclear what tasks should look like,4
USR00031,2024-11-09,5-20,No idea what my first task should be,Didn't know what to create,5
USR00032,2024-11-08,5-20,Some examples would have been super helpful,Needed examples or templates,8
USR00033,2024-11-26,21-99,How much info should a task have?,Unclear what tasks should look like,5
USR00034,2024-11-07,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,7
USR00035,2024-11-03,21-99,"Coming from Asana, I expected some starter templates",Needed examples or templates,7
USR00036,2024-11-24,100+,Not sure what level of detail to use,Unclear what tasks should look like,4
USR00037,2024-11-29,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,7
USR00038,2024-11-08,100+,How much info should a task have?,Unclear what tasks should look like,4
USR00039,2024-11-03,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,5
USR00040,2024-11-04,100+,No idea what my first task should be,Didn't know what to create,4
USR00041,2024-11-27,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,6
USR00042,2024-11-22,21-99,Expected some direction on where to start,Didn't know what to create,4
USR00043,2024-11-17,21-99,Blank slate made me anxious,Felt overwhelmed by blank canvas,8
USR00044,2024-11-12,21-99,How much info should a task have?,Unclear what tasks should look like,4
USR00045,2024-11-17,5-20,Wish there was some guidance on what to create,Didn't know what to create,4
USR00046,2024-11-18,5-20,Expected some direction on where to start,Didn't know what to create,6
USR00047,2024-11-14,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,8
USR00048,2024-11-15,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00049,2024-11-19,100+,Not sure what level of detail to use,Unclear what tasks should look like,5
USR00050,2024-11-22,5-20,No idea what my first task should be,Didn't know what to create,6
USR00051,2024-11-22,5-20,No idea what my first task should be,Didn't know what to create,6
USR00052,2024-11-10,5-20,Wish there was some guidance on what to create,Didn't know what to create,4
USR00053,2024-11-28,5-20,Just sat there confused about what to put in,Didn't know what to create,4
USR00054,2024-11-03,5-20,No idea what my first task should be,Didn't know what to create,4
USR00055,2024-11-08,5-20,Just sat there confused about what to put in,Didn't know what to create,8
USR00056,2024-11-10,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,5
USR00057,2024-11-22,5-20,What makes a good task vs a bad one?,Unclear what tasks should look like,7
USR00058,2024-11-05,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00059,2024-11-26,100+,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,7
USR00060,2024-11-14,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00061,2024-11-07,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,5
USR00062,2024-11-26,5-20,Show me what good looks like with samples,Needed examples or templates,8
USR00063,2024-11-08,21-99,Expected some direction on where to start,Didn't know what to create,7
USR00064,2024-11-08,5-20,Show me what good looks like with samples,Needed examples or templates,6
USR00065,2024-11-11,5-20,Show me what good looks like with samples,Needed examples or templates,4
USR00066,2024-11-21,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00067,2024-11-04,5-20,Not sure what level of detail to use,Unclear what tasks should look like,7
USR00068,2024-11-19,100+,The empty project was intimidating,Felt overwhelmed by blank canvas,5
USR00069,2024-11-21,21-99,Just sat there confused about what to put in,Didn't know what to create,6
USR00070,2024-11-17,5-20,Expected some direction on where to start,Didn't know what to create,4
USR00071,2024-11-25,100+,Just sat there confused about what to put in,Didn't know what to create,5
USR00072,2024-11-02,5-20,Wish there was some guidance on what to create,Didn't know what to create,8
USR00073,2024-11-07,21-99,Show me what good looks like with samples,Needed examples or templates,6
USR00074,2024-11-09,5-20,Show me what good looks like with samples,Needed examples or templates,6
USR00075,2024-11-28,5-20,Would love to see templates for common use cases,Needed examples or templates,4
USR00076,2024-11-24,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,5
USR00077,2024-11-15,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00078,2024-11-12,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00079,2024-11-09,5-20,The empty project was intimidating,Felt overwhelmed by blank canvas,7
USR00080,2024-11-25,100+,Show me what good looks like with samples,Needed examples or templates,8
USR00081,2024-11-18,21-99,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,4
USR00082,2024-11-25,21-99,Would love to see templates for common use cases,Needed examples or templates,4
USR00083,2024-11-30,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,6
USR00084,2024-11-16,21-99,How much info should a task have?,Unclear what tasks should look like,6
USR00085,2024-11-13,5-20,Some examples would have been super helpful,Needed examples or templates,8
USR00086,2024-11-23,5-20,Not sure what level of detail to use,Unclear what tasks should look like,4
USR00087,2024-11-23,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00088,2024-11-14,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00089,2024-11-25,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,4
USR00090,2024-11-23,5-20,Some examples would have been super helpful,Needed examples or templates,4
USR00091,2024-11-04,21-99,Some examples would have been super helpful,Needed examples or templates,4
USR00092,2024-11-08,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00093,2024-11-22,5-20,The empty project was intimidating,Felt overwhelmed by blank canvas,7
USR00094,2024-11-08,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,8
USR00095,2024-11-19,100+,Blank slate made me anxious,Felt overwhelmed by blank canvas,8
USR00096,2024-11-26,21-99,The empty project was intimidating,Felt overwhelmed by blank canvas,6
USR00097,2024-11-26,21-99,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,8
USR00098,2024-11-20,21-99,Expected some direction on where to start,Didn't know what to create,5
USR00099,2024-11-10,5-20,Expected some direction on where to start,Didn't know what to create,4
USR00100,2024-11-04,21-99,Expected some direction on where to start,Didn't know what to create,7
USR00101,2024-11-25,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00102,2024-11-30,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00103,2024-11-17,21-99,Show me what good looks like with samples,Needed examples or templates,4
USR00104,2024-11-29,21-99,Wish there was some guidance on what to create,Didn't know what to create,5
USR00105,2024-11-29,100+,No idea what my first task should be,Didn't know what to create,6
USR00106,2024-11-29,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,4
USR00107,2024-11-27,100+,No idea what my first task should be,Didn't know what to create,6
USR00108,2024-11-03,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00109,2024-11-09,5-20,Expected some direction on where to start,Didn't know what to create,4
USR00110,2024-11-21,5-20,Some examples would have been super helpful,Needed examples or templates,4
USR00111,2024-11-08,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00112,2024-11-28,5-20,Wish there was some guidance on what to create,Didn't know what to create,6
USR00113,2024-11-06,100+,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,5
USR00114,2024-11-24,21-99,Would love to see templates for common use cases,Needed examples or templates,6
USR00115,2024-11-25,5-20,Just sat there confused about what to put in,Didn't know what to create,4
USR00116,2024-11-22,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,8
USR00117,2024-11-10,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,8
USR00118,2024-11-09,100+,Just sat there confused about what to put in,Didn't know what to create,6
USR00119,2024-11-18,100+,Show me what good looks like with samples,Needed examples or templates,6
USR00120,2024-11-02,5-20,Expected some direction on where to start,Didn't know what to create,8
USR00121,2024-11-27,100+,How much info should a task have?,Unclear what tasks should look like,5
USR00122,2024-11-05,5-20,Show me what good looks like with samples,Needed examples or templates,5
USR00123,2024-11-27,5-20,No idea what my first task should be,Didn't know what to create,6
USR00124,2024-11-29,21-99,Just sat there confused about what to put in,Didn't know what to create,6
USR00125,2024-11-02,21-99,Some examples would have been super helpful,Needed examples or templates,5
USR00126,2024-11-12,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,5
USR00127,2024-11-12,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,7
USR00128,2024-11-16,5-20,Wish there was some guidance on what to create,Didn't know what to create,8
USR00129,2024-11-13,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,6
USR00130,2024-11-14,5-20,Just sat there confused about what to put in,Didn't know what to create,4
USR00131,2024-11-13,5-20,How much info should a task have?,Unclear what tasks should look like,7
USR00132,2024-11-10,5-20,Just sat there confused about what to put in,Didn't know what to create,6
USR00133,2024-11-26,5-20,Just sat there confused about what to put in,Didn't know what to create,8
USR00134,2024-11-08,100+,Unclear on the format for tasks,Unclear what tasks should look like,7
USR00135,2024-11-01,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00136,2024-11-01,5-20,Unclear on the format for tasks,Unclear what tasks should look like,6
USR00137,2024-11-24,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00138,2024-11-02,5-20,How much info should a task have?,Unclear what tasks should look like,5
USR00139,2024-11-27,100+,Some examples would have been super helpful,Needed examples or templates,8
USR00140,2024-11-05,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,7
USR00141,2024-11-10,5-20,The empty project was intimidating,Felt overwhelmed by blank canvas,5
USR00142,2024-11-05,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,8
USR00143,2024-11-10,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,8
USR00144,2024-11-09,21-99,Show me what good looks like with samples,Needed examples or templates,6
USR00145,2024-11-05,21-99,Some examples would have been super helpful,Needed examples or templates,8
USR00146,2024-11-30,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,6
USR00147,2024-11-30,100+,Blank slate made me anxious,Felt overwhelmed by blank canvas,7
USR00148,2024-11-24,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00149,2024-11-24,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,5
USR00150,2024-11-15,21-99,No idea what my first task should be,Didn't know what to create,6
USR00151,2024-11-29,5-20,No idea what my first task should be,Didn't know what to create,7
USR00152,2024-11-28,21-99,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00153,2024-11-14,100+,Blank slate made me anxious,Felt overwhelmed by blank canvas,4
USR00154,2024-11-09,100+,Wish there was some guidance on what to create,Didn't know what to create,4
USR00155,2024-11-03,5-20,Show me what good looks like with samples,Needed examples or templates,4
USR00156,2024-11-04,100+,No idea what my first task should be,Didn't know what to create,5
USR00157,2024-11-18,21-99,Wish there was some guidance on what to create,Didn't know what to create,6
USR00158,2024-11-19,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,5
USR00159,2024-11-15,100+,"Coming from Asana, I expected some starter templates",Needed examples or templates,5
USR00160,2024-11-07,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,5
USR00161,2024-11-27,100+,No idea what my first task should be,Didn't know what to create,7
USR00162,2024-11-17,100+,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,5
USR00163,2024-11-03,100+,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,5
USR00164,2024-11-13,5-20,Would love to see templates for common use cases,Needed examples or templates,4
USR00165,2024-11-09,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,8
USR00166,2024-11-13,100+,Unclear on the format for tasks,Unclear what tasks should look like,5
USR00167,2024-11-28,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,7
USR00168,2024-11-08,5-20,No idea what my first task should be,Didn't know what to create,4
USR00169,2024-11-18,5-20,Expected some direction on where to start,Didn't know what to create,7
