category,item,project,estimated_cost,actual_cost,status,notes
Ingredients,Lavender syrup (case),Spring Menu,45.00,,pending,Order by 2/28
Ingredients,Hibiscus tea (bulk),Spring Menu,32.00,,pending,
Ingredients,Maple syrup (local),Spring Menu,28.00,,pending,Cascade Farms
Equipment,Milk pitchers (3),Training,67.50,67.50,complete,For practice station
Equipment,Thermometers (6),Training,35.00,38.99,complete,Digital instant-read
Materials,Training binders,Training,42.00,,pending,Need 8 copies
Marketing,Instagram ads,Marketing,200.00,,approved,March campaign
Marketing,Printed menus,Marketing,85.00,,pending,Spring design
Marketing,Table tents,Marketing,45.00,,pending,New drink promos
Marketing,Influencer gifting,Marketing,150.00,,proposed,Free drinks + merch
Supplies,Spring cups (sleeve),Spring Menu,124.00,,pending,Custom printed
Staffing,Launch week OT,Spring Menu,280.00,,estimated,Extra coverage
Misc,Photography,Marketing,0.00,0.00,complete,Sarah doing in-house
